,cell_number,concave_regularity,brittleness,sample
AL189T_3,6.0591231955818,0.00971772422817014,0.600881641004118,AL189T
AL189T_4,6.44730586254121,0.507566732519372,0.882919017468628,AL189T
AL189T_5,6.13988455222626,0.104363776099488,0.802126601362996,AL189T
AL189T_6,6.0591231955818,0.0828996124999935,0.506515419911744,AL189T
AL189T_7,6.28599809450886,0.252558651054372,0.815738911575058,AL189T
AL189T_8,6.23441072571837,0.337413005226301,0.780098956965429,AL189T
AL189T_9,6.28785856016178,0.588752886425218,0.857445491563763,AL189T
AL189T_10,6.19031540585315,0.323160363593417,0.811401281434323,AL189T
AL189T_11,5.44241771052179,0.0669094737388943,0.59331172176791,AL189T
AL189T_12,5.98645200528444,0.0605697636794149,0.595571519633228,AL189T
AL189T_13,5.56452040732269,0.293908705088694,0.569694876874317,AL189T
AL189T_14,6.0913098820777,0.495474499096367,0.865778770733878,AL189T
AL189T_15,5.60947179518496,0.181771879725148,0.731046883989352,AL189T
AL189T_16,5.61677109766657,0.151703751852934,0.70978263197877,AL189T
AL189T_17,5.93489419561959,0.41839802597017,0.811248521683197,AL189T
AL189T_18,5.75890177387728,0.352266437628338,0.743423764401458,AL189T
AL189T_19,5.51342874616498,0.228992169096516,0.77895577460509,AL189T
AL189T_20,5.35658627467201,0.0739602115609052,0.596000531699168,AL189T
AL189T_21,5.15329159449778,0.105809958352126,0.536719145948852,AL189T
AL189T_22,5.48063892334199,0.0214833637467456,0.656463513570769,AL189T
AL189T_23,5.59098698051086,0.085335055533686,0.657817322143849,AL189T
AL189T_24,5.14166355650266,0.284720163504065,0.700321174201185,AL189T
AL189T_25,5.77765232322266,0.641815672682186,0.932929449466268,AL189T
AL189T_26,5.55682806169954,0.321240375598971,0.741711173600689,AL189T
AL189T_27,5.57972982598622,0.0522713858712454,0.637668446523831,AL189T
AL189T_28,5.23110861685459,0.108453547913447,0.610907826979038,AL189T
AL189T_29,5.64544689764324,0.513858216045073,0.822523523317427,AL189T
AL189T_30,5.52942908751142,0.13615811194517,0.636854642011201,AL189T
AL189T_31,5.31320597904179,0.0815295438336197,0.647902299226401,AL189T
AL189T_32,5.45958551414416,0.459776436309441,0.893007065177231,AL189T
AL189T_33,5.15905529921453,0.196113282088506,0.623501020620558,AL189T
AL189T_34,4.85203026391962,0.0911599319992377,0.632442493272239,AL189T
AL189T_35,5.08759633523238,0.0266593143428255,0.702286692837897,AL189T
AL189T_36,5.01727983681492,0.0824678447837241,0.625602344041406,AL189T
AL189T_37,4.82028156560504,0.0918499353823868,0.659251924263399,AL189T
AL189T_38,5.41164605185504,0.378710166305474,0.863623074647919,AL189T
AL189T_39,5.38449506278909,0.257692715924927,0.824322424369136,AL189T
AL189T_40,5.25227342804663,0.11973585164045,0.628414672315817,AL189T
AL189T_41,5.18738580584075,0.13564827044594,0.589013924419012,AL189T
AL189T_42,5.27299955856375,0.39123014473977,0.817695308037676,AL189T
AL189T_43,4.90527477843843,0.0974765875391515,0.695381542530814,AL189T
